"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Brothers+Real+Estate+Advisors/data=!4m7!3m6!1s0x38df958eb7db3dfb:0xd12c4b064a466893!8m2!3d33.6691914!4d72.9987841!16s%2Fg%2F11hmzc92yq!19sChIJ-z3bt46V3zgRk2hGSgZLLNE?authuser=0&hl=en&rclk=1","Brothers Real Estate Advisors","4.9","(28)","Real estate developer","·","·","Open","· Closes 6:30 PM","Ground Floor, MX9X+PF4, www.brothersrealestateadvisor.com, Office#09 Sardar St","+92 331 5100506","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Professional, responsive, and genuinely cares about clients.""","",""
"https://www.google.com/maps/place/E-11+Islamabad+Estate+Agency/data=!4m7!3m6!1s0x38dfbd7caf2c7559:0x74505082bb2f9490!8m2!3d33.6961405!4d72.9679791!16s%2Fg%2F11fr0rxc1b!19sChIJWXUsr3y93zgRkJQvu4JQUHQ?authuser=0&hl=en&rclk=1","E-11 Islamabad Estate Agency","4.6","(17)","Real estate agency","·","·","Open","· Closes 10 PM","1st floor office No, Crown Business Centre, 07 Main Double Rd","+92 333 7205184","https://sindhika.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent place to live""","",""
"https://www.google.com/maps/place/Ahmad+Estate+Pvt.Ltd,+Soan+Garden,+Islamabad./data=!4m7!3m6!1s0x38dfeda3b7a1ad0f:0x74d9d988d8e3ea26!8m2!3d33.5647202!4d73.1521496!16s%2Fg%2F11h0hjq156!19sChIJD62ht6Pt3zgRJurj2IjZ2XQ?authuser=0&hl=en&rclk=1","Ahmad Estate Pvt.Ltd, Soan Garden, Islamabad.","4.8","(34)","Industrial real estate agency","","·","Open","· Closes 10 PM","","+92 315 9194508","https://www.facebook.com/ahmed.estate.and.property.advisor","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Their deals are transparent and very cooperative.""","",""
"https://www.google.com/maps/place/Prime+Property+%26+Developers+Pvt.+Ltd./data=!4m7!3m6!1s0x38dfbf491153f14d:0x799626851cd38836!8m2!3d33.7123506!4d73.0615691!16s%2Fg%2F11sfr76x96!19sChIJTfFTEUm_3zgRNojTHIUmlnk?authuser=0&hl=en&rclk=1","Prime Property & Developers Pvt. Ltd.","4.8","(46)","Real estate agency","·","6 Mezzanine Floor, Mujahid Plaza, Jinnah Ave","Open","· Closes 6 PM","·","+92 300 3794458","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Honest and reliable","real estate","consultant in islamabad"""
"https://www.google.com/maps/place/Estate+166/data=!4m7!3m6!1s0x38df95d937333d81:0x7997dc37b2077f36!8m2!3d33.6694147!4d72.9987209!16s%2Fg%2F11swjxhtg6!19sChIJgT0zN9mV3zgRNn8Hsjfcl3k?authuser=0&hl=en&rclk=1","Estate 166","4.9","(36)","Real estate agency","·","Office # 2,3 & 4, Islamabad Arcade Plaza","Open","· Closes 7 PM","·","+92 333 7777166","https://estate166.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Estate","166 team very professional, educated and cooperative."""
"https://www.google.com/maps/place/Akbar+Groups+Real+Estate+And+Builders/data=!4m7!3m6!1s0x38dfed2d24922c8d:0xe673fd10fdd10111!8m2!3d33.5497452!4d73.1239826!16s%2Fg%2F11j_qz9495!19sChIJjSySJC3t3zgREQHR_RD9c-Y?authuser=0&hl=en&rclk=1","Akbar Groups Real Estate And Builders","5.0","(99)","Real estate agency","·","·","Open 24 hours","","3rd Floor Plot 181, Office : 9, Main Blvd","+92 333 6955557","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Highly recommended
Very honest","real estate","agents in Rawalpindi Islamabad"""
"https://www.google.com/maps/place/Aura+Properties/data=!4m7!3m6!1s0x38dfbf118e5cd45b:0x9354311ba889395c!8m2!3d33.7227407!4d73.0816271!16s%2Fg%2F11qnts09pc!19sChIJW9RcjhG_3zgRXDmJqBsxVJM?authuser=0&hl=en&rclk=1","Aura Properties","4.8","(63)","Real estate agency","·","3rd Floor Office No, Al Asghar Plaza, 1 Jinnah Ave","Open","· Closes 6 PM","·","+92 336 4000641","https://www.aurabizz.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Trustable company, good advice, coordinative staff, fair deal.""","",""
"https://www.google.com/maps/place/Jahan+Numa+Estate/data=!4m7!3m6!1s0x38df954f80da4a95:0x50ed0eb00778f0c2!8m2!3d33.6687962!4d73.0760829!16s%2Fg%2F12mkz9p1v!19sChIJlUragE-V3zgRwvB4B7AO7VA?authuser=0&hl=en&rclk=1","Jahan Numa Estate","5.0","(58)","Real estate consultant","·","Office # 12, First Floor, Rose1 Plaza, Mir Chakar Khan Rd","Open","· Closes 7:30 PM","·","+92 300 5102146","https://youtube.com/@JahanNumaEstate","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""I found Mr Masood very attentive, knowledgeable and responsive.""","",""
"https://www.google.com/maps/place/Top+Value+Associates+%7C+Best+Property+Dealers/data=!4m7!3m6!1s0x38dfbd257217b559:0x8ce62cf456972341!8m2!3d33.7013576!4d72.949611!16s%2Fg%2F11trxcth8w!19sChIJWbUXciW93zgRQSOXVvQs5ow?authuser=0&hl=en&rclk=1","Top Value Associates | Best Property Dealers","4.9","(57)","Real estate consultant","·","Office no. 17, First floor, AIM Arcade","Open 24 hours","","·","+92 347 0003341","http://www.topvalueassociates.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""very professional,experienced and helpful agents.Highly recommend.""","",""
"https://www.google.com/maps/place/Top+Value+Associates+%7C+Best+Property+Dealers/data=!4m7!3m6!1s0x38dfbd468fd145c7:0x8069dfe38ac0e448!8m2!3d33.6846253!4d72.9863775!16s%2Fg%2F11vwjywm17!19sChIJx0XRj0a93zgRSOTAiuPfaYA?authuser=0&hl=en&rclk=1","Top Value Associates | Best Property Dealers","4.9","(62)","Real estate agency","·","3rd floor, Capital Territory, markaz","Open 24 hours","","·","+92 336 5221225","https://www.topvalueassociates.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Professional and responsive","real estate","consultants"""
"https://www.google.com/maps/place/Islamabad+Property+Dealers/data=!4m7!3m6!1s0x38dfbd0996bb50a1:0x52be4a11070d0dab!8m2!3d33.687196!4d72.9421984!16s%2Fg%2F11f3_zgr91!19sChIJoVC7lgm93zgRqw0NBxFKvlI?authuser=0&hl=en&rclk=1","Islamabad Property Dealers","4.1","(11)","Real estate consultant","·","Street 1","","","","+92 313 5380645","","","Directions","","","","","",""
"https://www.google.com/maps/place/SRH+International+Real+Estate+%26+Builders/data=!4m7!3m6!1s0x38dfbfba07444cf3:0xffc186d2adedaa0f!8m2!3d33.6859412!4d73.1634658!16s%2Fg%2F11r9typ881!19sChIJ80xEB7q_3zgRD6rtrdKGwf8?authuser=0&hl=en&rclk=1","SRH International Real Estate & Builders","4.8","(36)","Real estate agency","·","Office No. 4, Ground Floor, Kayani Plaza, Jinnah","Open","· Closes 6 PM","·","+92 346 3044455","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""SRH international are very professional","real estate","expert"""
"https://www.google.com/maps/place/TANVEER+ASSOCIATES/data=!4m7!3m6!1s0x38dfbd51711fb099:0xa30e273f7f548025!8m2!3d33.703809!4d72.980369!16s%2Fg%2F11hzpn1jxs!19sChIJmbAfcVG93zgRJYBUfz8nDqM?authuser=0&hl=en&rclk=1","TANVEER ASSOCIATES","4.8","(90)","Real estate developer","·","Office No# 4,5","Open","· Closes 7 PM","·","0330 1979311","https://www.google.com/aclk?sa=L&ai=DChsSEwjVxK3Zk5OVAxWUqGgJHZSEAMcYACICCAEQAxoCd2Y&co=1&ase=2&gclid=CjwKCAjw0dPRBhAPEiwAE5vTTlhEQvIKKSrfCfrMEGWMtqbYs0qjTSh8hfBdSDb3vQZlo2nqUiJfDBoCRmoQAvD_BwE&cid=CAAS0wHkaHrn5L8keHSgjxWyv8zITi_hUrdYmOnv7rJ9xXwkud_2WAVCVD2EWoYLoejNQ2aQo5g560e9qNpOsC7dBfHn7Z7tYs1TjLqmwUuxQX1b7O4zQQPG0oLapoSg_9zeW3U5jTCVU12Cz0iz3WTqMNctQ141h3iGPWhBLWTRQ_aE3h644uL-atkuO2gSVHxB9L7krH6ihCxXOZxzvltbzxsIwzyDmXvKDZk2UXOPB6M4k9WfQ5kYbuvr8vxjNlyneHoTLs_YdYHeb2NscrjwAjSwJrYn&cce=2&category=acrcp_v1_32&sig=AOD64_2UbGYqgEDmPAByMYx_qY_qXaTu6Q&adurl&q&ctype=99&nis=6","","Website","","Directions","","","",""
"https://www.google.com/maps/place/Elysium+Tower+Service+Apartments+Islamabad+KAT/data=!4m7!3m6!1s0x38dfbd02662d8fcb:0x845f1b35ff753ad3!8m2!3d33.707226!4d73.052288!16s%2Fg%2F11z4b2ps56!19sChIJy48tZgK93zgR0zp1_zUbX4Q?authuser=0&hl=en&rclk=1","Elysium Tower Service Apartments Islamabad KAT","5.0","(5)","Serviced apartment","·","Plot # 4, Main Jinnah Avenue","","","","0331 6662426","https://www.google.com/aclk?sa=L&ai=DChsSEwjVxK3Zk5OVAxWUqGgJHZSEAMcYACICCAEQBBoCd2Y&co=1&ase=2&gclid=CjwKCAjw0dPRBhAPEiwAE5vTTlgZwnxvyf1XE86fRyqZ17ZRh1nrOMXgc9jgAXiiuhxbmGbXoOMkOxoC33wQAvD_BwE&cid=CAAS0wHkaHrn5L8keHSgjxWyv8zITi_hUrdYmOnv7rJ9xXwkud_2WAVCVD2EWoYLoejNQ2aQo5g560e9qNpOsC7dBfHn7Z7tYs1TjLqmwUuxQX1b7O4zQQPG0oLapoSg_9zeW3U5jTCVU12Cz0iz3WTqMNctQ141h3iGPWhBLWTRQ_aE3h644uL-atkuO2gSVHxB9L7krH6ihCxXOZxzvltbzxsIwzyDmXvKDZk2UXOPB6M4k9WfQ5kYbuvr8vxjNlyneHoTLs_YdYHeb2NscrjwAjSwJrYn&cce=2&category=acrcp_v1_32&sig=AOD64_2qXdhpXqNJhahp8wJIAc9o1zLOag&adurl&q&ctype=99&nis=6","","Website","","Directions","","","",""
"https://www.google.com/maps/place/Ghandhara+Estate/data=!4m7!3m6!1s0x38dfbe6b485b34a5:0xd7c570041abb20c2!8m2!3d33.6954459!4d73.0120103!16s%2Fg%2F1tq8gy9s!19sChIJpTRbSGu-3zgRwiC7GgRwxdc?authuser=0&hl=en&rclk=1","Ghandhara Estate","4.6","(25)","Real estate agency","·","·","Open","· Closes 7:30 PM","Crescent Plaza, M2W6+6WR, F-10 Markaz","+92 300 9568645","https://ghandharaestate.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They are reliable and very professional with their work.""","",""
"https://www.google.com/maps/place/Mumtaz+%26+Brothers+Islamabad+Estate+Agents+Association/data=!4m7!3m6!1s0x38dfbdb8f315c323:0x7383d998612add12!8m2!3d33.6961207!4d72.9681417!16s%2Fg%2F11gbk2052g!19sChIJI8MV87i93zgREt0qYZjZg3M?authuser=0&hl=en&rclk=1","Mumtaz & Brothers Islamabad Estate Agents Association","4.0","(76)","Real estate agency","·","·","Open 24 hours","","Office#13, First Floor, crown business center, 8 Main Double Rd","+92 340 9860794","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Professional person""","",""
"https://www.google.com/maps/place/Sepehr+Realtors+%E2%80%93+Property+Dealers+in+Islamabad+and+Rawalpindi/data=!4m7!3m6!1s0x38df97ba9557d563:0x840a77db83f4a522!8m2!3d33.5752314!4d73.1515038!16s%2Fg%2F11t9bpmp5r!19sChIJY9VXlbqX3zgRIqX0g9t3CoQ?authuser=0&hl=en&rclk=1","Sepehr Realtors – Property Dealers in Islamabad and Rawalpindi","5.0","(28)","Industrial real estate agency","·","2nd floor, Alvi Arcade, PWD Office, Sepehr Realtors","Open","· Closes 6 PM","·","+92 332 5431841","https://sepehrrealtors.com.pk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Provided excellent service.""","",""
"https://www.google.com/maps/place/Tehseen+Estate+Builders+%26+Developers/data=!4m7!3m6!1s0x38dfbd946bc086a1:0x586f8d19ab740ec3!8m2!3d33.6829986!4d72.9885!16s%2Fg%2F11fl101f7l!19sChIJoYbAa5S93zgRww50qxmNb1g?authuser=0&hl=en&rclk=1","Tehseen Estate Builders & Developers","5.0","(23)","Real estate agency","·","Office No.11 2nd Floor,Lord Trade Center","Open","· Closes 8 PM","·","+92 331 1110222","https://tehseenestate.com.pk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very coperative staff & professional enviroment""","",""
"https://www.google.com/maps/place/Land+Route+Properties+Pvt.+Ltd/data=!4m7!3m6!1s0x38dfbff939844d17:0x78b1608c6f7761a5!8m2!3d33.7208684!4d73.0789599!16s%2Fg%2F11jyj78610!19sChIJF02EOfm_3zgRpWF3b4xgsXg?authuser=0&hl=en&rclk=1","Land Route Properties Pvt. Ltd","4.9","(29)","Property investment company","·","Safdar Mension, Office 1 & 2, Street 30","Open","· Closes 7 PM","·","+92 345 1908640","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Reliable","real estate","company with trust worthy & tested experience."""
"https://www.google.com/maps/place/Vision51+-+Real+Estate+Investment+Property+Sale+Purchase+in+Islamabad/data=!4m7!3m6!1s0x38dfbfb5fbe6faab:0xf852b59b756aa658!8m2!3d33.7122847!4d73.0616168!16s%2Fg%2F1q62gck63!19sChIJq_rm-7W_3zgRWKZqdZu1Uvg?authuser=0&hl=en&rclk=1","Vision51 - Real Estate Investment Property Sale Purchase in Islamabad","4.5","(16)","Real estate consultant","·","Jinnah Ave","Open 24 hours","","·","+92 333 4310267","https://vision51.pk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Professional","real estate","agents and"
"https://www.google.com/maps/place/Land+Agency/data=!4m7!3m6!1s0x38df95e73d472b03:0xefc505bc5b8c8a1a!8m2!3d33.6692166!4d72.9988041!16s%2Fg%2F11k1rn_xyd!19sChIJAytHPeeV3zgRGoqMW7wFxe8?authuser=0&hl=en&rclk=1","Land Agency","4.8","(9)","Property investment company","·","Office # 4, 2nd Floor, Islamabad Arcade","Open","· Closes 8 PM","·","+92 334 0908220","http://www.landagency.com.pk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Quite impressive and best advisor""","",""
"https://www.google.com/maps/place/ALLIED+Real+Estate+%26+Builders/data=!4m7!3m6!1s0x38dfbf47062fb7af:0xceda3240a196403b!8m2!3d33.7179642!4d73.0852663!16s%2Fg%2F11p4_71v8n!19sChIJr7cvBke_3zgRO0CWoUAy2s4?authuser=0&hl=en&rclk=1","ALLIED Real Estate & Builders","4.9","(30)","Real estate agency","·","Office no.7 B, Block 21, Melody near GPO, Civic Centre","Open","· Closes 8 PM","·","+92 334 0115810","https://www.facebook.com/allied.official22","","Website","","Directions","","","",""
"https://www.google.com/maps/place/House+For+Sale+in+Bhara+Kahu+Islamabad/data=!4m7!3m6!1s0x38dfc153af5e651b:0xa8006147d8c9fdd!8m2!3d33.7417431!4d73.1730847!16s%2Fg%2F11llw_s5sg!19sChIJG2Ver1PB3zgR3Z-MfRQGgAo?authuser=0&hl=en&rclk=1","House For Sale in Bhara Kahu Islamabad","4.5","(18)","Real estate consultant","·","P5RF+M6W Col. Amanullah Road, Bukhari St","Open 24 hours","","·","+92 316 5186498","https://bharakahu.business/the-realtorz.htm","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very nice place""","",""
"https://www.google.com/maps/place/Syed+Property+Consultants+%26+Builders+Enclave/data=!4m7!3m6!1s0x38dfe9aaa5862a3b:0x7e24e33fc557c944!8m2!3d33.6860386!4d73.2106149!16s%2Fg%2F11fl7c_wwv!19sChIJOyqGparp3zgRRMlXxT_jJH4?authuser=0&hl=en&rclk=1","Syed Property Consultants & Builders Enclave","5.0","(65)","Real estate agency","·","ZOO, Office No. 7 Lower Ground Prism Arcade 4 Opposite","Open","· Closes 9 PM","·","+92 334 9343999","https://youtube.com/@ShaheerAkmaljf17official","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Amazing team, beautiful office, reliable deals.""","",""
"https://www.google.com/maps/place/Manahil+Estate/data=!4m7!3m6!1s0x38dfeb7eff524867:0xbb4eaab37a4efc4e!8m2!3d33.5226485!4d73.0926863!16s%2Fg%2F1hm1vg4_y!19sChIJZ0hS_37r3zgRTvxOerOqTrs?authuser=0&hl=en&rclk=1","Manahil Estate","4.2","(41)","Real estate agency","·","Office no. 2, 2nd Floor, Faisal Bank Plaza, Spring North،","Open","· Closes 7 PM","·","+92 345 5222253","https://manahilestate.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Its a good place for","real estate","consultancy."""
"https://www.google.com/maps/place/Awan+Properties/data=!4m7!3m6!1s0x38dfed85fb42706d:0xf3f1dae4b245d967!8m2!3d33.5260975!4d73.1563086!16s%2Fg%2F113h4j12y!19sChIJbXBC-4Xt3zgRZ9lFsuTa8fM?authuser=0&hl=en&rclk=1","Awan Properties","4.8","(105)","Commercial real estate agency","·","Capt GM Awan Arcade, A-18","Open","· Closes 6:30 PM","·","+92 304 1111702","http://www.awanproperties.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""I found them honest, competent, highly professional team with a good leader.""","",""
"https://www.google.com/maps/place/Tierra+Associates/data=!4m7!3m6!1s0x38df952a3f2ed193:0xc8a46e5ffc008998!8m2!3d33.6693566!4d72.9998384!16s%2Fg%2F11tfbs17m9!19sChIJk9EuPyqV3zgRmIkA_F9upMg?authuser=0&hl=en&rclk=1","Tierra Associates","4.9","(171)","Real estate consultant","·","Office 25-26, 1st Floor, Al Rehmat Mall, Markaz","Open","· Closes 7 PM","·","+92 331 1111444","http://www.tierra.pk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Awsome","real estate","company very friendly and professional staff."""
"https://www.google.com/maps/place/Real+Estate+Islamabad+-+Tatweer+Associates+-+Property+Consultant/data=!4m7!3m6!1s0x38dfbf27f7b6fdbb:0x55e701f8db37ac94!8m2!3d33.7118119!4d73.0607846!16s%2Fg%2F11p9y47sh9!19sChIJu_229ye_3zgRlKw32_gB51U?authuser=0&hl=en&rclk=1","Real Estate Islamabad - Tatweer Associates - Property Consultant","5.0","(9)","Real estate agency","·","64-E, Top Floor, Masco Plaza","Open","· Closes 9 PM","·","+92 312 9672909","","","Directions","","","","Onsite services","Online appointments",""
"https://www.google.com/maps/place/Musa+Estate+%26+Builders/data=!4m7!3m6!1s0x38dfe955c42934d1:0xf7fbcef02afdf401!8m2!3d33.6796445!4d73.245264!16s%2Fg%2F11pclxv5bp!19sChIJ0TQpxFXp3zgRAfT9KvDO-_c?authuser=0&hl=en&rclk=1","Musa Estate & Builders","4.9","(25)","Real estate agency","·","M6HW+R4V, Office 02 GF, BRC Tower, 72 Block G, Civic Zone, 3rd Ave","Open","· Closes 9 PM","·","+92 300 1734007","https://musaestatebuilders.site/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great people, Great services, highly recommended !!""","",""
"https://www.google.com/maps/place/Real+Estate+Investment+Consultants/data=!4m7!3m6!1s0x38dfed62d4a8476f:0xaf1db01047e6c711!8m2!3d33.521704!4d73.1086694!16s%2Fg%2F11g18w0g27!19sChIJb0eo1GLt3zgREcfmRxCwHa8?authuser=0&hl=en&rclk=1","Real Estate Investment Consultants","5.0","(130)","Real estate agent","·","·","Open","· Closes 7 PM","Office # 4-A/27، Defence Business Bay، behind cafe trieste","+92 333 0527887","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recognized and reputable","real estate","agency and agents"""
"https://www.google.com/maps/place/IBEX+Properties/data=!4m7!3m6!1s0x38df95911172a431:0xf01e108e0b2b6b57!8m2!3d33.6685016!4d72.9989027!16s%2Fg%2F11t881w_4n!19sChIJMaRyEZGV3zgRV2srC44QHvA?authuser=0&hl=en&rclk=1","IBEX Properties","4.9","(52)","Real estate agency","·","Office#17 First Floor Al-Ghaffar Mall","Open 24 hours","","·","+92 310 0001937","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Professional and educated staff well mannered","real estate","group."""
"https://www.google.com/maps/place/A+%26+A+Marketing+%26+Real+Estates/data=!4m7!3m6!1s0x38dfc18388e0e571:0xda953fb9ddb62552!8m2!3d33.7417599!4d73.1695329!16s%2Fg%2F11j0rhwlqr!19sChIJceXgiIPB3zgRUiW23bk_ldo?authuser=0&hl=en&rclk=1","A & A Marketing & Real Estates","5.0","(46)","Real estate agent","·","Downtown Margalla, Margalla valley near colonel","Open","· Closes 7 PM","·","+92 317 0006669","https://www.facebook.com/AAMarketingRealEstates?mibextid=ZbWKwL","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Professional","real estate","agents 100 percent verified."""
"https://www.google.com/maps/place/4M+Enterprises+Real+Estate+%26+Builders+%28Pvt.+Ltd.%29/data=!4m7!3m6!1s0x38df95bc0ea94907:0x27c09e719cf9a55!8m2!3d33.6667271!4d73.0731981!16s%2Fg%2F11k6dlk9gq!19sChIJB0mpDryV3zgRVZrPGecJfAI?authuser=0&hl=en&rclk=1","4M Enterprises Real Estate & Builders (Pvt. Ltd.)","4.5","(59)","Real estate agency","·","Office No. 2, 1st Floor, Zaki Centre","Closed","· Opens 9 AM Mon","·","+92 51 4938267","https://fourem.com.pk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Highly professional and experienced people in their field...""","",""
"https://www.google.com/maps/place/ABU+ALI+REALTORS/data=!4m7!3m6!1s0x38dfbfca1982ab5d:0x75c5079f822797ee!8m2!3d33.7200878!4d73.0552696!16s%2Fg%2F11txv9p8t7!19sChIJXauCGcq_3zgR7pcngp8HxXU?authuser=0&hl=en&rclk=1","ABU ALI REALTORS","5.0","(28)","Real estate consultant","·","Office no 3, 1st Floor, King's Arcade","Closes soon","· 5 PM · Opens 9 AM Sat","·","+92 316 6883113","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""One of the best Reliable and trustworthy","property","partners."""
